time[s],thrust[N]
0.1846,506.5865989
0.1848,505.7859001
0.185,504.6212473
0.1852,503.6021761
0.1854,502.8014773
0.1856,501.7824061
0.1858,500.9817073
0.186,499.8898454
0.1862,498.7979834
0.1864,497.9244938
0.1866,496.9782134
0.1868,496.2503054
0.187,495.4496066
0.1872,495.304025
0.1874,495.5951882
0.1876,495.5951882
0.1878,496.1775146
0.188,496.9782134
0.1882,498.0700754
0.1884,499.3803098
0.1886,500.1082178
0.1888,501.4912429
0.189,502.8014773
0.1892,503.7477577
0.1894,504.6940381
0.1896,505.7131093
0.1898,506.5865989
0.19,507.3145069
0.1902,507.7512517
0.1904,508.6975321
0.1906,508.4063689
0.1908,508.1879965
0.191,507.8968333
0.1912,507.2417161
0.1914,506.3682265
0.1916,505.3491553
0.1918,504.1845025
0.192,503.0926405
0.1922,501.8551969
0.1924,500.763335
0.1926,499.3803098
0.1928,498.215657
0.193,496.5414686
0.1932,494.8672802
0.1934,493.7754182
0.1936,492.6107655
0.1938,491.5189035
0.194,490.7182047
0.1942,490.2814599
0.1944,490.3542507
0.1946,490.8637863
0.1948,491.6644851
0.195,492.9019286
0.1952,494.212163
0.1954,495.8135606
0.1956,497.4149582
0.1958,499.0163558
0.196,501.0544981
0.1962,501.6368245
0.1964,503.3110129
0.1966,503.9661301
0.1968,505.4219461
0.197,506.2226449
0.1972,506.5865989
0.1974,507.3145069
0.1976,507.5328793
0.1978,507.8968333
0.198,507.5328793
0.1982,507.2417161
0.1984,506.3682265
0.1986,505.6403185
0.1988,504.8396197
0.199,503.3838037
0.1992,502.1463601
0.1994,500.9817073
0.1996,499.9626362
0.1998,498.943565
0.2,497.7789122
0.2002,496.9054226
0.2004,495.8863514
0.2006,494.7216986
0.2008,494.4305354
0.201,494.0665814
0.2012,493.6298366
0.2014,493.9209998
0.2016,493.7026274
0.2018,495.0128618
0.202,496.031933
0.2022,497.3421674
0.2024,499.0163558
0.2026,500.2537994
0.2028,502.0007785
0.203,503.3110129
0.2032,504.5484565
0.2034,505.6403185
0.2036,506.5138081
0.2038,507.3872977
